feature,global_appearance_count,n_z_windows_seen,z_windows_seen,median_union_rank_global,mean_union_rank_global,median_best_hie_norm_global,mean_best_hie_norm_global,n_entry_source_global,n_exit_source_global,n_both_tie_source_global,n_z_windows_stable_ge2,z_windows_stable_ge2,global_stable_hie_rank,stability_top_k
ADX_30_scaled,12,4,24|48|72|96,10.5,9.5,0.017074201834188507,0.0199270470098578,11,0,1,4,24|48|72|96,1,20
price_pos_in_range_72_norm,10,4,24|48|72|96,11.5,11.2,0.01820231088084251,0.020280221776261757,0,10,0,4,24|48|72|96,2,20
ema_spread_100_200_z,9,4,24|48|72|96,7.0,6.666666666666667,0.02041854510089347,0.022001602249382468,4,5,0,4,24|48|72|96,3,20
RSI_72_bounded,9,4,24|48|72|96,10.0,10.0,0.017351406726651697,0.015478721846701645,6,2,1,4,24|48|72|96,4,20
volatility_168_sqrt_z,9,4,24|48|72|96,10.0,9.444444444444445,0.020381185833696913,0.02093453212818865,6,3,0,3,48|72|96,5,20
price_pos_in_range_168_norm,8,4,24|48|72|96,9.5,9.75,0.025653991586933905,0.025301009072976055,2,6,0,4,24|48|72|96,6,20
dist_to_high_24_sqrt_z,8,4,24|48|72|96,8.5,10.25,0.016829044792149445,0.01723842448442548,5,3,0,3,24|48|96,7,20
dist_to_high_168_sqrt_z,8,4,24|48|72|96,9.0,9.5,0.017255684275903432,0.018746035712654388,1,7,0,3,48|72|96,8,20
RSI_30_bounded,8,4,24|48|72|96,10.0,10.75,0.015341341890430488,0.01594953221180285,5,3,0,3,24|48|72,9,20
bb_width_20_sqrt_z,8,4,24|48|72|96,10.5,11.0,0.01612713553016029,0.015690766235975373,4,4,0,3,24|48|72,10,20
ema_spread_50_100_z,8,4,24|48|72|96,11.0,10.75,0.022543081032510737,0.022723447526370413,2,6,0,3,24|48|96,11,20
ret_accel_72_168_z,7,4,24|48|72|96,3.0,3.142857142857143,0.03636900851020625,0.034202533948519236,0,3,4,3,48|72|96,12,20
MACD_hist_pct_z,7,4,24|48|72|96,12.0,12.285714285714286,0.020500876123169698,0.020458629778364292,2,5,0,3,48|72|96,13,20
MOM_pct_72_z,7,4,24|48|72|96,2.0,4.0,0.0307061158737279,0.03154581627800906,2,4,1,2,72|96,14,20
log_ret_72_z,7,4,24|48|72|96,3.0,4.428571428571429,0.030317697447347747,0.0318066341636647,1,4,2,2,72|96,15,20
ret_accel_24_72_z,7,4,24|48|72|96,10.0,9.142857142857142,0.0283253946475166,0.025185003314667585,6,0,1,2,72|96,16,20
volatility_72_sqrt_z,7,4,24|48|72|96,16.0,12.857142857142858,0.013549301878009068,0.01911197575878611,5,0,2,2,48|72,17,20
ema_slope_100_z,6,3,48|72|96,11.5,12.0,0.018128591334295036,0.01848849459604383,2,4,0,3,48|72|96,18,20
log_ret_168_z,6,3,24|48|72,13.0,11.833333333333334,0.013426228064015222,0.013583994131956831,3,3,0,3,24|48|72,19,20
dist_to_high_72_sqrt_z,6,4,24|48|72|96,12.5,12.666666666666666,0.021284396346329615,0.019826051066004786,3,3,0,2,24|48,20,20
ema_spread_9_21_z,6,4,24|48|72|96,12.5,12.333333333333334,0.01635016338744777,0.016275951208474793,2,4,0,2,24|48,21,20
ema_slope_200_z,6,4,24|48|72|96,15.0,12.0,0.018436215350187274,0.01946093320790432,4,2,0,2,72|96,22,20
ema_spread_21_50_z,6,3,48|72|96,14.5,13.166666666666666,0.01745416538511199,0.01975306226736991,2,4,0,2,72|96,23,20
dist_ema_100_z,6,4,24|48|72|96,17.0,16.166666666666668,0.016713187587383965,0.01703074769004039,4,2,0,1,24,24,20
ADX_72_scaled,5,4,24|48|72|96,2.0,5.4,0.023729610111712596,0.023080405274689353,1,2,2,1,96,25,20
dist_ema_21_z,5,4,24|48|72|96,14.0,12.4,0.01448930905949497,0.01680959095251472,4,0,1,1,24,26,20
MOM_pct_14_z,5,4,24|48|72|96,17.0,13.6,0.016109606675602073,0.016055036619732965,0,5,0,1,96,27,20
price_pos_in_range_24_norm,4,4,24|48|72|96,8.0,7.5,0.030555456549260618,0.030289758940378372,1,0,3,0,,28,20
log_ret_6_z,4,4,24|48|72|96,9.5,8.5,0.016017022908327794,0.01683112374529583,2,2,0,0,,29,20
bb_pos_20_norm,4,4,24|48|72|96,11.5,11.25,0.017600913443900496,0.01745955716609819,0,3,1,0,,30,20
dist_to_low_24_sqrt_z,3,2,24|72,7.0,10.333333333333334,0.013022915875580354,0.017791400008881075,3,0,0,1,24,31,20
dist_to_low_72_sqrt_z,3,2,72|96,8.0,10.333333333333334,0.019191884136736947,0.018655733506741563,1,2,0,1,72,32,20
dist_ema_50_z,3,2,24|48,10.0,11.666666666666666,0.01760925393938184,0.019638678561142247,2,1,0,1,24,33,20
dist_ema_200_z,3,2,24|72,16.0,15.666666666666666,0.01576280617208864,0.018553360069049413,1,2,0,1,72,34,20
ema_slope_21_z,3,2,24|48,16.0,16.0,0.015756690279492114,0.016588597947971868,0,3,0,1,24,35,20
NATR_14_z,3,2,48|72,16.0,16.666666666666668,0.014746001486725946,0.014809563445595494,0,3,0,1,48,36,20
ema_slope_50_z,3,2,24|96,17.0,16.0,0.016064858101595136,0.017757536869449825,0,3,0,1,24,37,20
RSI_14_bounded,3,3,24|48|72,10.0,10.333333333333334,0.014830028944067264,0.01474982015598969,3,0,0,0,,38,20
dist_ema_9_z,2,2,72|96,3.5,3.5,0.017175748203360125,0.017175748203360125,2,0,0,0,,39,20
MOM_pct_30_z,2,2,24|48,16.5,16.5,0.017373284444764214,0.017373284444764214,0,2,0,0,,40,20
ema_slope_9_z,2,2,24|96,17.0,17.0,0.013650675766536502,0.013650675766536502,1,1,0,0,,41,20
ADX_14_scaled,1,1,48,20.0,20.0,0.020050195057142006,0.020050195057142006,1,0,0,0,,42,20
volatility_24_sqrt_z,1,1,96,20.0,20.0,0.010844091137815759,0.010844091137815759,1,0,0,0,,43,20
