z_window,top_k_left,top_k_right,n_left,n_right,overlap_count,jaccard,left_subset_of_right,shared_features,only_left,only_right
24,7,14,2,9,2,0.2222222222222222,True,ADX_30_scaled|dist_to_high_24_sqrt_z,,RSI_30_bounded|RSI_72_bounded|dist_ema_21_z|ema_spread_100_200_z|ema_spread_50_100_z|ema_spread_9_21_z|price_pos_in_range_72_norm
24,7,20,2,18,2,0.1111111111111111,True,ADX_30_scaled|dist_to_high_24_sqrt_z,,RSI_30_bounded|RSI_72_bounded|bb_width_20_sqrt_z|dist_ema_100_z|dist_ema_21_z|dist_ema_50_z|dist_to_high_72_sqrt_z|dist_to_low_24_sqrt_z|ema_slope_21_z|ema_slope_50_z|ema_spread_100_200_z|ema_spread_50_100_z|ema_spread_9_21_z|log_ret_168_z|price_pos_in_range_168_norm|price_pos_in_range_72_norm
24,7,26,2,26,2,0.07692307692307693,True,ADX_30_scaled|dist_to_high_24_sqrt_z,,ADX_72_scaled|MOM_pct_72_z|RSI_14_bounded|RSI_30_bounded|RSI_72_bounded|bb_width_20_sqrt_z|dist_ema_100_z|dist_ema_200_z|dist_ema_21_z|dist_ema_50_z|dist_to_high_72_sqrt_z|dist_to_low_24_sqrt_z|ema_slope_21_z|ema_slope_50_z|ema_spread_100_200_z|ema_spread_50_100_z|ema_spread_9_21_z|log_ret_168_z|log_ret_24_z|log_ret_72_z|price_pos_in_range_168_norm|price_pos_in_range_72_norm|ret_accel_24_72_z|volatility_24_sqrt_z
24,14,20,9,18,9,0.5,True,ADX_30_scaled|RSI_30_bounded|RSI_72_bounded|dist_ema_21_z|dist_to_high_24_sqrt_z|ema_spread_100_200_z|ema_spread_50_100_z|ema_spread_9_21_z|price_pos_in_range_72_norm,,bb_width_20_sqrt_z|dist_ema_100_z|dist_ema_50_z|dist_to_high_72_sqrt_z|dist_to_low_24_sqrt_z|ema_slope_21_z|ema_slope_50_z|log_ret_168_z|price_pos_in_range_168_norm
24,14,26,9,26,9,0.34615384615384615,True,ADX_30_scaled|RSI_30_bounded|RSI_72_bounded|dist_ema_21_z|dist_to_high_24_sqrt_z|ema_spread_100_200_z|ema_spread_50_100_z|ema_spread_9_21_z|price_pos_in_range_72_norm,,ADX_72_scaled|MOM_pct_72_z|RSI_14_bounded|bb_width_20_sqrt_z|dist_ema_100_z|dist_ema_200_z|dist_ema_50_z|dist_to_high_72_sqrt_z|dist_to_low_24_sqrt_z|ema_slope_21_z|ema_slope_50_z|log_ret_168_z|log_ret_24_z|log_ret_72_z|price_pos_in_range_168_norm|ret_accel_24_72_z|volatility_24_sqrt_z
24,20,26,18,26,18,0.6923076923076923,True,ADX_30_scaled|RSI_30_bounded|RSI_72_bounded|bb_width_20_sqrt_z|dist_ema_100_z|dist_ema_21_z|dist_ema_50_z|dist_to_high_24_sqrt_z|dist_to_high_72_sqrt_z|dist_to_low_24_sqrt_z|ema_slope_21_z|ema_slope_50_z|ema_spread_100_200_z|ema_spread_50_100_z|ema_spread_9_21_z|log_ret_168_z|price_pos_in_range_168_norm|price_pos_in_range_72_norm,,ADX_72_scaled|MOM_pct_72_z|RSI_14_bounded|dist_ema_200_z|log_ret_24_z|log_ret_72_z|ret_accel_24_72_z|volatility_24_sqrt_z
48,7,14,3,11,3,0.2727272727272727,True,RSI_72_bounded|ema_spread_50_100_z|ret_accel_72_168_z,,ADX_30_scaled|RSI_30_bounded|bb_width_20_sqrt_z|dist_to_high_168_sqrt_z|ema_spread_100_200_z|price_pos_in_range_72_norm|volatility_168_sqrt_z|volatility_72_sqrt_z
48,7,20,3,19,3,0.15789473684210525,True,RSI_72_bounded|ema_spread_50_100_z|ret_accel_72_168_z,,ADX_30_scaled|MACD_hist_pct_z|NATR_14_z|RSI_30_bounded|bb_width_20_sqrt_z|dist_to_high_168_sqrt_z|dist_to_high_24_sqrt_z|dist_to_high_72_sqrt_z|ema_slope_100_z|ema_spread_100_200_z|ema_spread_9_21_z|log_ret_168_z|price_pos_in_range_168_norm|price_pos_in_range_72_norm|volatility_168_sqrt_z|volatility_72_sqrt_z
48,7,26,3,27,3,0.1111111111111111,True,RSI_72_bounded|ema_spread_50_100_z|ret_accel_72_168_z,,ADX_14_scaled|ADX_30_scaled|ADX_72_scaled|MACD_hist_pct_z|NATR_14_z|RSI_14_bounded|RSI_30_bounded|bb_pos_20_norm|bb_width_20_sqrt_z|dist_ema_100_z|dist_ema_21_z|dist_to_high_168_sqrt_z|dist_to_high_24_sqrt_z|dist_to_high_72_sqrt_z|ema_slope_100_z|ema_slope_200_z|ema_slope_21_z|ema_spread_100_200_z|ema_spread_9_21_z|log_ret_168_z|price_pos_in_range_168_norm|price_pos_in_range_72_norm|volatility_168_sqrt_z|volatility_72_sqrt_z
48,14,20,11,19,11,0.5789473684210527,True,ADX_30_scaled|RSI_30_bounded|RSI_72_bounded|bb_width_20_sqrt_z|dist_to_high_168_sqrt_z|ema_spread_100_200_z|ema_spread_50_100_z|price_pos_in_range_72_norm|ret_accel_72_168_z|volatility_168_sqrt_z|volatility_72_sqrt_z,,MACD_hist_pct_z|NATR_14_z|dist_to_high_24_sqrt_z|dist_to_high_72_sqrt_z|ema_slope_100_z|ema_spread_9_21_z|log_ret_168_z|price_pos_in_range_168_norm
48,14,26,11,27,11,0.4074074074074074,True,ADX_30_scaled|RSI_30_bounded|RSI_72_bounded|bb_width_20_sqrt_z|dist_to_high_168_sqrt_z|ema_spread_100_200_z|ema_spread_50_100_z|price_pos_in_range_72_norm|ret_accel_72_168_z|volatility_168_sqrt_z|volatility_72_sqrt_z,,ADX_14_scaled|ADX_72_scaled|MACD_hist_pct_z|NATR_14_z|RSI_14_bounded|bb_pos_20_norm|dist_ema_100_z|dist_ema_21_z|dist_to_high_24_sqrt_z|dist_to_high_72_sqrt_z|ema_slope_100_z|ema_slope_200_z|ema_slope_21_z|ema_spread_9_21_z|log_ret_168_z|price_pos_in_range_168_norm
48,20,26,19,27,19,0.7037037037037037,True,ADX_30_scaled|MACD_hist_pct_z|NATR_14_z|RSI_30_bounded|RSI_72_bounded|bb_width_20_sqrt_z|dist_to_high_168_sqrt_z|dist_to_high_24_sqrt_z|dist_to_high_72_sqrt_z|ema_slope_100_z|ema_spread_100_200_z|ema_spread_50_100_z|ema_spread_9_21_z|log_ret_168_z|price_pos_in_range_168_norm|price_pos_in_range_72_norm|ret_accel_72_168_z|volatility_168_sqrt_z|volatility_72_sqrt_z,,ADX_14_scaled|ADX_72_scaled|RSI_14_bounded|bb_pos_20_norm|dist_ema_100_z|dist_ema_21_z|ema_slope_200_z|ema_slope_21_z
72,7,14,3,11,3,0.2727272727272727,True,ema_spread_100_200_z|ret_accel_72_168_z|volatility_168_sqrt_z,,ADX_30_scaled|MACD_hist_pct_z|MOM_pct_72_z|dist_to_high_168_sqrt_z|ema_slope_100_z|ema_spread_21_50_z|log_ret_72_z|price_pos_in_range_72_norm
72,7,20,3,21,3,0.14285714285714285,True,ema_spread_100_200_z|ret_accel_72_168_z|volatility_168_sqrt_z,,ADX_30_scaled|MACD_hist_pct_z|MOM_pct_72_z|RSI_30_bounded|RSI_72_bounded|bb_width_20_sqrt_z|dist_ema_200_z|dist_to_high_168_sqrt_z|dist_to_low_72_sqrt_z|ema_slope_100_z|ema_slope_200_z|ema_spread_21_50_z|log_ret_168_z|log_ret_72_z|price_pos_in_range_168_norm|price_pos_in_range_72_norm|ret_accel_24_72_z|volatility_72_sqrt_z
72,7,26,3,28,3,0.10714285714285714,True,ema_spread_100_200_z|ret_accel_72_168_z|volatility_168_sqrt_z,,ADX_30_scaled|ADX_72_scaled|MACD_hist_pct_z|MOM_pct_30_z|MOM_pct_72_z|RSI_14_bounded|RSI_30_bounded|RSI_72_bounded|bb_width_20_sqrt_z|dist_ema_200_z|dist_to_high_168_sqrt_z|dist_to_high_24_sqrt_z|dist_to_low_72_sqrt_z|ema_slope_100_z|ema_slope_200_z|ema_spread_21_50_z|ema_spread_50_100_z|ema_spread_9_21_z|log_ret_168_z|log_ret_72_z|price_pos_in_range_168_norm|price_pos_in_range_72_norm|range_sqrt_z|ret_accel_24_72_z|volatility_72_sqrt_z
72,14,20,11,21,11,0.5238095238095238,True,ADX_30_scaled|MACD_hist_pct_z|MOM_pct_72_z|dist_to_high_168_sqrt_z|ema_slope_100_z|ema_spread_100_200_z|ema_spread_21_50_z|log_ret_72_z|price_pos_in_range_72_norm|ret_accel_72_168_z|volatility_168_sqrt_z,,RSI_30_bounded|RSI_72_bounded|bb_width_20_sqrt_z|dist_ema_200_z|dist_to_low_72_sqrt_z|ema_slope_200_z|log_ret_168_z|price_pos_in_range_168_norm|ret_accel_24_72_z|volatility_72_sqrt_z
72,14,26,11,28,11,0.39285714285714285,True,ADX_30_scaled|MACD_hist_pct_z|MOM_pct_72_z|dist_to_high_168_sqrt_z|ema_slope_100_z|ema_spread_100_200_z|ema_spread_21_50_z|log_ret_72_z|price_pos_in_range_72_norm|ret_accel_72_168_z|volatility_168_sqrt_z,,ADX_72_scaled|MOM_pct_30_z|RSI_14_bounded|RSI_30_bounded|RSI_72_bounded|bb_width_20_sqrt_z|dist_ema_200_z|dist_to_high_24_sqrt_z|dist_to_low_72_sqrt_z|ema_slope_200_z|ema_spread_50_100_z|ema_spread_9_21_z|log_ret_168_z|price_pos_in_range_168_norm|range_sqrt_z|ret_accel_24_72_z|volatility_72_sqrt_z
72,20,26,21,28,21,0.75,True,ADX_30_scaled|MACD_hist_pct_z|MOM_pct_72_z|RSI_30_bounded|RSI_72_bounded|bb_width_20_sqrt_z|dist_ema_200_z|dist_to_high_168_sqrt_z|dist_to_low_72_sqrt_z|ema_slope_100_z|ema_slope_200_z|ema_spread_100_200_z|ema_spread_21_50_z|log_ret_168_z|log_ret_72_z|price_pos_in_range_168_norm|price_pos_in_range_72_norm|ret_accel_24_72_z|ret_accel_72_168_z|volatility_168_sqrt_z|volatility_72_sqrt_z,,ADX_72_scaled|MOM_pct_30_z|RSI_14_bounded|dist_to_high_24_sqrt_z|ema_spread_50_100_z|ema_spread_9_21_z|range_sqrt_z
96,7,14,4,10,4,0.4,True,MOM_pct_72_z|ema_spread_100_200_z|log_ret_72_z|ret_accel_72_168_z,,MACD_hist_pct_z|dist_to_high_168_sqrt_z|dist_to_high_24_sqrt_z|price_pos_in_range_72_norm|ret_accel_24_72_z|volatility_168_sqrt_z
96,7,20,4,19,4,0.21052631578947367,True,MOM_pct_72_z|ema_spread_100_200_z|log_ret_72_z|ret_accel_72_168_z,,ADX_30_scaled|ADX_72_scaled|MACD_hist_pct_z|MOM_pct_14_z|RSI_72_bounded|dist_to_high_168_sqrt_z|dist_to_high_24_sqrt_z|ema_slope_100_z|ema_slope_200_z|ema_spread_21_50_z|ema_spread_50_100_z|price_pos_in_range_168_norm|price_pos_in_range_72_norm|ret_accel_24_72_z|volatility_168_sqrt_z
96,7,26,4,26,4,0.15384615384615385,True,MOM_pct_72_z|ema_spread_100_200_z|log_ret_72_z|ret_accel_72_168_z,,ADX_30_scaled|ADX_72_scaled|MACD_hist_pct_z|MOM_pct_14_z|RSI_14_bounded|RSI_30_bounded|RSI_72_bounded|bb_width_20_sqrt_z|dist_ema_50_z|dist_to_high_168_sqrt_z|dist_to_high_24_sqrt_z|dist_to_low_168_sqrt_z|ema_slope_100_z|ema_slope_200_z|ema_spread_21_50_z|ema_spread_50_100_z|ema_spread_9_21_z|price_pos_in_range_168_norm|price_pos_in_range_72_norm|ret_accel_24_72_z|volatility_168_sqrt_z|volatility_72_sqrt_z
96,14,20,10,19,10,0.5263157894736842,True,MACD_hist_pct_z|MOM_pct_72_z|dist_to_high_168_sqrt_z|dist_to_high_24_sqrt_z|ema_spread_100_200_z|log_ret_72_z|price_pos_in_range_72_norm|ret_accel_24_72_z|ret_accel_72_168_z|volatility_168_sqrt_z,,ADX_30_scaled|ADX_72_scaled|MOM_pct_14_z|RSI_72_bounded|ema_slope_100_z|ema_slope_200_z|ema_spread_21_50_z|ema_spread_50_100_z|price_pos_in_range_168_norm
96,14,26,10,26,10,0.38461538461538464,True,MACD_hist_pct_z|MOM_pct_72_z|dist_to_high_168_sqrt_z|dist_to_high_24_sqrt_z|ema_spread_100_200_z|log_ret_72_z|price_pos_in_range_72_norm|ret_accel_24_72_z|ret_accel_72_168_z|volatility_168_sqrt_z,,ADX_30_scaled|ADX_72_scaled|MOM_pct_14_z|RSI_14_bounded|RSI_30_bounded|RSI_72_bounded|bb_width_20_sqrt_z|dist_ema_50_z|dist_to_low_168_sqrt_z|ema_slope_100_z|ema_slope_200_z|ema_spread_21_50_z|ema_spread_50_100_z|ema_spread_9_21_z|price_pos_in_range_168_norm|volatility_72_sqrt_z
96,20,26,19,26,19,0.7307692307692307,True,ADX_30_scaled|ADX_72_scaled|MACD_hist_pct_z|MOM_pct_14_z|MOM_pct_72_z|RSI_72_bounded|dist_to_high_168_sqrt_z|dist_to_high_24_sqrt_z|ema_slope_100_z|ema_slope_200_z|ema_spread_100_200_z|ema_spread_21_50_z|ema_spread_50_100_z|log_ret_72_z|price_pos_in_range_168_norm|price_pos_in_range_72_norm|ret_accel_24_72_z|ret_accel_72_168_z|volatility_168_sqrt_z,,RSI_14_bounded|RSI_30_bounded|bb_width_20_sqrt_z|dist_ema_50_z|dist_to_low_168_sqrt_z|ema_spread_9_21_z|volatility_72_sqrt_z
